Date,Count
2013/01/08,1.769
2013/01/09,2.029
2013/01/10,2.087
2013/01/11,1.612
2013/01/12,1.626
2013/01/13,2.13
2013/01/14,1.698
2013/01/15,1.54
2013/01/16,1.64
2013/01/17,2.087
2013/01/18,1.64
2013/01/19,1.569
2013/01/20,1.483
2013/01/21,1.597
2013/01/22,1.698
2013/01/23,1.755
2013/01/24,2.216
2013/01/25,1.64
2013/01/26,1.655
2013/01/27,1.569
2013/01/28,2.201
2013/01/29,2.547
2013/01/30,2.187
2013/01/31,2.805
2013/02/01,2.745
2013/02/02,2.745
2013/02/03,2.745
2013/02/04,2.196
2013/02/05,2.196
2013/02/06,2.745
2013/02/07,1.647
2013/02/08,2.196
2013/02/09,2.196
2013/02/10,2.196
2013/02/11,2.196
2013/02/12,3.294
2013/02/13,2.196
2013/02/14,3.294
2013/02/15,2.745
2013/02/16,3.294
2013/02/17,3.294
2013/02/18,3.842
2013/02/19,2.745
2013/02/20,3.294
2013/02/21,2.745
2013/02/22,3.294
2013/02/23,3.294
2013/02/24,2.745
2013/02/25,3.294
2013/02/26,2.745
2013/02/27,3.294
2013/02/28,4.391
2013/03/01,4.391
2013/03/02,2.745
2013/03/03,3.294
2013/03/04,3.294
2013/03/05,4.391
2013/03/06,6.038
2013/03/07,4.94
2013/03/08,4.94
2013/03/09,4.391
2013/03/10,5.489
2013/03/11,4.94
2013/03/12,7.136
2013/03/13,5.489
2013/03/14,4.391
2013/03/15,3.842
2013/03/16,3.842
2013/03/17,4.391
2013/03/18,5.489
2013/03/19,6.587
2013/03/20,7.685
2013/03/21,9.332
2013/03/22,10.429
2013/03/23,11.527
2013/03/24,8.783
2013/03/25,8.783
2013/03/26,9.332
2013/03/27,10.978
2013/03/28,14.272
2013/03/29,16.468
2013/03/30,14.272
2013/03/31,12.625
2013/04/01,15.248
2013/04/02,17.192
2013/04/03,26.608
2013/04/04,24.681
2013/04/05,20.514
2013/04/06,16.632
2013/04/07,16.917
2013/04/08,25.225
2013/04/09,30.776
2013/04/10,47.699
2013/04/11,55.458
2013/04/12,49.071
2013/04/13,30.776
2013/04/14,26.059
2013/04/15,25.505
2013/04/16,21.909
2013/04/17,18.85
2013/04/18,18.021
2013/04/19,15.248
2013/04/20,11.64
2013/04/21,12.201
2013/04/22,11.926
2013/04/23,13.864
2013/04/24,13.03
2013/04/25,11.372
2013/04/26,11.092
2013/04/27,9.702
2013/04/28,9.982
2013/04/29,9.708
2013/04/30,9.148
2013/05/01,11.205
2013/05/02,11.765
2013/05/03,12.325
2013/05/04,10.084
2013/05/05,9.524
2013/05/06,9.524
2013/05/07,8.403
2013/05/08,7.843
2013/05/09,8.403
2013/05/10,7.843
2013/05/11,7.283
2013/05/12,7.283
2013/05/13,8.403
2013/05/14,8.403
2013/05/15,9.524
2013/05/16,8.403
2013/05/17,7.843
2013/05/18,7.843
2013/05/19,9.524
2013/05/20,8.403
2013/05/21,7.283
2013/05/22,6.723
2013/05/23,6.163
2013/05/24,6.163
2013/05/25,6.163
2013/05/26,5.602
2013/05/27,5.602
2013/05/28,7.283
2013/05/29,8.403
2013/05/30,7.283
2013/05/31,6.723
2013/06/01,6.163
2013/06/02,6.723
2013/06/03,5.602
2013/06/04,6.163
2013/06/05,5.602
2013/06/06,5.042
2013/06/07,5.602
2013/06/08,5.602
2013/06/09,7.283
2013/06/10,6.163
